,Unnamed: 0,Unnamed: 0.1,CASE_NO,Decision_Date,Case_Status,APPLICATION_TYPE,Employer_Name,Employer_address_1,Employer_address_2,Employer_City,Employer_State,Employer_Postal_Code,2007_NAICS_US_CODE,2007_NAICS_US_TITLE,US_ECONOMIC_SECTOR,PW_SOC_Code,PW_SOC_TITLE,PW_Job_Title_9089,PW_LEVEL_9089,PW_SOURCE_NAME_9089,PW_AMOUNT_9089,PW_UNIT_OF_PAY_9089,WAGE_OFFERED_FROM_9089,WAGE_OFFERED_TO_9089,WAGE_OFFERED_UNIT_OF_PAY_9089,Job_Info_Work_City,Job_Info_Work_State,Country_of_Citizenship,Class_of_Admission,Annual_Wage,Certified
29,1071,1338,A-13045-40546,2013/11/22 00:00:00,Certified-Expired,ONLINE,"SOFT MACHINES, INC.",3211 SCOTT BLVD,SUITE 202,SANTA CLARA,CALIFORNIA,95054,33441,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level IV,OES,139838.0,Year,139838.0,159838.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,139838.0,1
30,1081,1351,A-13031-36581,2013/11/8 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,102731.0,Year,102731.0,180000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,102731.0,1
31,1099,1374,A-13046-40948,2013/11/15 00:00:00,Certified-Expired,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,78992.0,Year,78992.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,78992.0,1
35,1144,1426,A-13039-39208,2014/8/11 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072.00,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,78992.0,Year,78992.0,180000.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,78992.0,1
37,1194,1484,A-13225-88015,2014/4/14 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,82333.0,Year,82854.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,82333.0,1
38,1217,1511,A-13220-87001,2014/3/21 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,102697.0,Year,102700.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,102697.0,1
39,1245,1542,A-13202-81742,2014/5/1 00:00:00,Certified,ONLINE,KRYPT INC,3945 FREEDOM CIRCLE,STE 550,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1121,Computer Systems Analysts,Computer Systems Analysts,Level III,OES,96845.0,Year,105000.0,,Year,Sunnyvale,CALIFORNIA,INDIA,H-1B,96845.0,1
40,1248,1545,A-13198-80759,2014/4/30 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85176.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,85176.0,1
41,1286,1589,A-13112-58181,2014/1/7 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,98853.0,Year,98853.0,105000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,98853.0,1
43,1324,1633,A-13189-78184,2014/4/14 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,102731.0,Year,102731.0,142900.0,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,102731.0,1
44,1340,1652,A-13162-70868,2014/3/13 00:00:00,Certified-Expired,ONLINE,"APPLIED MATERIALS, INC.",3225 OAKMEAD VILLAGE DRIVE,,SANTA CLARA,CALIFORNIA,95054,33441,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,41-9031,Sales Engineers,Sales Engineers,Level II,OES,110781.0,Year,110781.0,119400.0,Year,Santa Clara,CALIFORNIA,TAIWAN,H-1B,110781.0,1
49,1478,1818,A-13135-64128,2014/1/9 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,88341.0,Year,88400.0,,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,88341.0,1
51,1531,1879,A-13140-65002,2014/1/14 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,11-3021,Computer and Information Systems Managers,Computer and Information Systems Managers,,Other,108747.0,Year,110000.0,130000.0,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,108747.0,1
52,1564,1919,A-13199-81067,2014/3/5 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,88341.0,Year,88400.0,,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,88341.0,1
54,1578,1937,A-13200-81622,2014/3/14 00:00:00,Certified-Expired,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,83648.0,Year,83648.0,93000.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,83648.0,1
55,1601,1971,A-13154-68345,2014/4/24 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level III,OES,98675.0,Year,98675.0,171300.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,98675.0,1
56,1640,2016,A-13191-79016,2014/4/18 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2061,Computer Hardware Engineers,Computer Hardware Engineers,,Other,79702.0,Year,79702.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,79702.0,1
57,1656,2033,A-13246-93455,2014/4/21 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,85176.0,Year,85176.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,85176.0,1
60,1739,2132,A-13148-66792,2014/1/22 00:00:00,Certified-Expired,ONLINE,GLOBALFOUNDRIES U.S. INC.,2600 GREAT AMERICA WAY,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,17-2112,Industrial Engineers,Industrial Engineers,Level III,OES,104437.0,Year,104437.0,131500.0,Year,Milpitas,CALIFORNIA,INDIA,H-1B,104437.0,1
63,1776,2175,A-13196-80190,2014/3/21 00:00:00,Certified-Expired,ONLINE,"SOFT MACHINES, INC.",3211 SCOTT BLVD,SUITE 202,SANTA CLARA,CALIFORNIA,95054,33441,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,102731.0,Year,102731.0,122731.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,102731.0,1
66,1821,2227,A-13158-69775,2014/3/10 00:00:00,Certified-Expired,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,102731.0,Year,103360.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,102731.0,1
67,1861,2274,A-13345-24060,2014/8/7 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,105564.0,Year,107000.0,121580.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,105564.0,1
68,1868,2282,A-13252-94884,2014/4/14 00:00:00,Certified,ONLINE,MCAFEE INC.,2821 MISSION COLLEGE BLVD,,SANTA CLARA,CALIFORNIA,95054,5415,Computer Systems Design and Related Services,IT,11-3021.00,Computer and Information Systems Managers,Computer and Information Systems Managers,,Other,122301.0,Year,122301.0,137301.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,122301.0,1
69,1890,2306,A-13291-02106,2014/4/29 00:00:00,Certified,ONLINE,EMBRANE,2350 MISSION COLLEGE BLVD.  SUITE 703,,SANTA CLARA,CALIFORNIA,95054,519190,All Other Information Services,Other Economic Sector,15-1179,"Information Security Analysts, Web Developers, and Computer Network Architects","Information Security Analysts, Web Developers, and Computer Network Architects",Level II,OES,94162.0,Year,105000.0,,Year,Santa Clara,CALIFORNIA,ITALY,H-1B,94162.0,1
71,1915,2336,A-13235-91080,2014/3/28 00:00:00,Certified-Expired,ONLINE,PACTRON/HJPC CORPORATION,3000 PATRICK HENRY DRIVE,,SANTA CLARA,CALIFORNIA,95054,541330,Engineering Services,Aerospace,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,102731.0,Year,102731.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,102731.0,1
72,1963,2390,A-13226-88323,2014/4/16 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level III,OES,128294.0,Year,128294.0,171300.0,Year,Santa Clara,CALIFORNIA,PERU,H-1B,128294.0,1
73,1976,2405,A-13206-82885,2014/4/14 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,82370.0,Year,82370.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,82370.0,1
74,1992,2423,A-13250-94724,2014/4/23 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,109138.0,Year,109138.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,109138.0,1
75,2048,2492,A-13295-04022,2014/5/7 00:00:00,Certified,ONLINE,AMTEX ENTERPRISES INC,4699 OLD IRONSIDES DRIVE,SUITE 270,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level III,OES,128294.0,Year,128294.0,,Year,Sunnyvale,CALIFORNIA,INDIA,H-1B,128294.0,1
76,2073,2519,A-13269-00754,2014/6/6 00:00:00,Certified,ONLINE,"APPLIED MATERIALS, INC.",3225 OAKMEAD VILLAGE DRIVE,,SANTA CLARA,CALIFORNIA,95054,33441,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2131,Materials Engineers,Materials Engineers,,Other,97455.0,Year,109242.0,119400.0,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,97455.0,1
77,2177,2640,A-13253-95573,2014/5/28 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",Level II,OES,102731.0,Year,105200.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,102731.0,1
78,2190,2655,A-13268-00429,2014/6/11 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level III,OES,127150.0,Year,132000.0,157108.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,127150.0,1
81,2292,2782,A-13310-11622,2014/6/5 00:00:00,Certified,ONLINE,"APPLIED MATERIALS, INC.",3225 OAKMEAD VILLAGE DRIVE,,SANTA CLARA,CALIFORNIA,95054,33441,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2131,Materials Engineers,Materials Engineers,,Other,97856.0,Year,102277.0,119400.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,97856.0,1
82,2312,2809,A-13246-93522,2014/4/11 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,92838.0,Year,92926.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,92838.0,1
83,2323,2823,A-13267-99708,2014/6/11 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,95408.0,Year,106000.0,109683.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,95408.0,1
84,2330,2834,A-13267-99760,2014/6/9 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level I,OES,93038.0,Year,125000.0,171000.0,Year,Santa Clara,CALIFORNIA,POLAND,H-1B,93038.0,1
86,2421,2942,A-13346-24340,2014/6/9 00:00:00,Certified,ONLINE,CHANGYOU.COM (US) LLC,2700 AUGUSTINE DR. STE. 165,,SANTA CLARA,CALIFORNIA,95054,5413,"Architectural, Engineering, and Related Services",Other Economic Sector,15-1132,"Software Developers, Applications","Software Developers, Applications",Level I,OES,80746.0,Year,80746.0,,Year,Santa Clara,CALIFORNIA,CHINA,H-1B,80746.0,1
88,2483,3017,A-14079-54461,2014/9/2 00:00:00,Certified,ONLINE,ALPHA NET CONSULTING LLC.,3080 OLCOTT STREET,SUITE # 235C,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1121,Computer Systems Analysts,Computer Systems Analysts,Level IV,OES,114421.0,Year,114421.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,114421.0,1
89,2575,3131,A-13331-19676,2014/6/4 00:00:00,Certified,ONLINE,HITACHI DATA SYSTEMS CORPORATION,2845 LAFAYETTE STREET,,SANTA CLARA,CALIFORNIA,95050,541511,Custom Computer Programming Services,IT,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,109683.0,Year,120000.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,109683.0,1
90,2583,3140,A-13340-22654,2014/6/16 00:00:00,Certified,ONLINE,NVIDIA CORPORATION,2701 SAN TOMAS EXPRESSWAY,,SANTA CLARA,CALIFORNIA,95050,334111,Electronic Computer Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,83583.0,Year,98000.0,111034.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,83583.0,1
92,2692,3272,A-14029-37056,2014/7/8 00:00:00,Certified,ONLINE,GS SOFT INC,3130 DE LA CRUZ BLVD,SUITE # 136,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1132,"Software Developers, Applications","Software Developers, Applications",Level IV,OES,134534.0,Year,134534.0,,Year,santa clara,CALIFORNIA,INDIA,H-1B,134534.0,1
93,2784,3384,A-14023-35034,2014/7/7 00:00:00,Certified,ONLINE,"INTEL MOBILE COMMUNICATIONS, INC.",2200 MISSION COLLEGE BLVD. RN4-151,,SANTA CLARA,CALIFORNIA,95054,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,11-3021,Computer and Information Systems Managers,Computer and Information Systems Managers,,Other,158031.0,Year,158031.0,171300.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,158031.0,1
94,2836,3445,A-14015-32784,2014/7/23 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,82077.0,Year,86195.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,82077.0,1
96,2958,3595,A-14013-32088,2014/7/23 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,17-2072,"Electronics Engineers, Except Computer","Electronics Engineers, Except Computer",,Other,80033.0,Year,80033.0,142900.0,Year,Folsom,CALIFORNIA,INDIA,H-1B,80033.0,1
101,3009,3651,A-14010-31657,2014/6/25 00:00:00,Certified,ONLINE,ALPHA NET CONSULTING LLC.,3080 OLCOTT STREET,SUITE # 235C,SANTA CLARA,CALIFORNIA,95054,541511,Custom Computer Programming Services,IT,15-1121,Computer Systems Analysts,Computer Systems Analysts,Level II,OES,79269.0,Year,79269.0,,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,79269.0,1
104,3098,3754,A-14084-55627,2014/8/22 00:00:00,Certified,ONLINE,INTEL CORPORATION,2200 MISSION COLLEGE BLVD.,,SANTA CLARA,CALIFORNIA,95052,3344,Semiconductor and Other Electronic Component Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",Level II,OES,110094.0,Year,110094.0,142900.0,Year,Santa Clara,CALIFORNIA,INDIA,H-1B,110094.0,1
105,3154,3820,A-12352-23548,2014/6/2 00:00:00,Certified,ONLINE,MARVELL SEMICONDUCTOR INC,5488 MARVELL LANE,,SANTA CLARA,CALIFORNIA,95054,334413,Semiconductor and Related Device Manufacturing,Advanced Mfg,15-1133,"Software Developers, Systems Software","Software Developers, Systems Software",,Other,106628.0,Year,110000.0,130000.0,Year,Santa Clara,CALIFORNIA,SOUTH KOREA,H-1B,106628.0,1
